method,question_id,categoria,precision_at_1,hit_at_1,precision_at_3,hit_at_3,precision_at_5,hit_at_5,mrr
hyde,Q001,incumplimientos,1.0,1,0.6666666666666666,1,0.8,1,1.0
hyde,Q002,incumplimientos,1.0,1,1.0,1,1.0,1,1.0
hyde,Q003,riesgos,0.0,0,0.6666666666666666,1,0.8,1,0.5
hyde,Q004,despliegues,1.0,1,0.6666666666666666,1,0.4,1,1.0
hyde,Q005,ans,1.0,1,1.0,1,1.0,1,1.0
hyde,Q006,acciones_correctivas,1.0,1,0.6666666666666666,1,0.6,1,1.0
hyde,Q007,calidad,0.0,0,0.3333333333333333,1,0.4,1,0.5
hyde,Q008,actas_compromisos,0.0,0,0.3333333333333333,1,0.2,1,0.5
hyde,Q009,gobierno,0.0,0,0.6666666666666666,1,0.6,1,0.5
hyde,Q010,incumplimientos,0.0,0,0.6666666666666666,1,0.6,1,0.5
hyde,Q011,causas_incumplimiento,1.0,1,1.0,1,1.0,1,1.0
hyde,Q012,riesgos,1.0,1,1.0,1,1.0,1,1.0
hyde,Q013,riesgos,1.0,1,1.0,1,1.0,1,1.0
hyde,Q014,mitigacion,0.0,0,0.0,0,0.2,1,0.25
hyde,Q015,calidad,0.0,0,0.6666666666666666,1,0.6,1,0.5
hyde,Q016,recomendacion_documental,1.0,1,1.0,1,0.8,1,1.0
hyde,Q017,timeline_riesgos,0.0,0,0.6666666666666666,1,0.6,1,0.5
hyde,Q018,comunicaciones,1.0,1,0.6666666666666666,1,0.8,1,1.0
hyde,Q019,riesgos,1.0,1,1.0,1,1.0,1,1.0
hyde,Q020,evidencia,0.0,0,0.3333333333333333,1,0.6,1,0.3333333333333333
normal,Q001,incumplimientos,1.0,1,1.0,1,0.8,1,1.0
normal,Q002,incumplimientos,0.0,0,0.3333333333333333,1,0.6,1,0.5
normal,Q003,riesgos,0.0,0,0.6666666666666666,1,0.8,1,0.5
normal,Q004,despliegues,1.0,1,0.6666666666666666,1,0.6,1,1.0
normal,Q005,ans,1.0,1,1.0,1,1.0,1,1.0
normal,Q006,acciones_correctivas,1.0,1,0.6666666666666666,1,0.8,1,1.0
normal,Q007,calidad,1.0,1,1.0,1,1.0,1,1.0
normal,Q008,actas_compromisos,1.0,1,1.0,1,1.0,1,1.0
normal,Q009,gobierno,1.0,1,0.3333333333333333,1,0.6,1,1.0
normal,Q010,incumplimientos,1.0,1,1.0,1,0.8,1,1.0
normal,Q011,causas_incumplimiento,1.0,1,1.0,1,1.0,1,1.0
normal,Q012,riesgos,0.0,0,0.6666666666666666,1,0.6,1,0.5
normal,Q013,riesgos,1.0,1,0.3333333333333333,1,0.6,1,1.0
normal,Q014,mitigacion,1.0,1,1.0,1,0.8,1,1.0
normal,Q015,calidad,1.0,1,1.0,1,0.8,1,1.0
normal,Q016,recomendacion_documental,1.0,1,1.0,1,0.8,1,1.0
normal,Q017,timeline_riesgos,1.0,1,0.6666666666666666,1,0.8,1,1.0
normal,Q018,comunicaciones,1.0,1,1.0,1,1.0,1,1.0
normal,Q019,riesgos,1.0,1,1.0,1,1.0,1,1.0
normal,Q020,evidencia,0.0,0,0.3333333333333333,1,0.4,1,0.3333333333333333
