scenario,question_id,question,categoria,final_rank,final_score,retriever_rank,retriever_score,reranker_rank,reranker_score,doc_id,filename,tipo_documento,page,chunk_id,chunk_text
retriever_only,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,1,0.5526236891746521,1,0.5526236891746521,,,DOC_018,INT_PC_AC_Acta Seguimiento Ejecutivo_20240227.docx,ACTA,1,DOC_018_RCHUNK_005,"Cierre de las fases activas del proyecto: prestación de los servicios de gestión (por demanda y fijos), transferencia de conocimiento y gestión y monitoreo.
La Interventoría notificó al Consorcio, a través de comunicaciones escritas y reuniones con la gerencia del proyecto y los representantes legales, acerca de las falencias en la calidad de los entregables, en el cumplimiento y cierre de los compromisos, en la comunicación con sus equipos de desarrollo, en la planeación y seguimiento a los ciclos de desarrollo. En respuesta, el Consorcio estableció planes de acción que tampoco fueron cumplidos. 
La Interventoría explicó que se realizaron sesiones ejecutivas con la DIAN (DIGIT - Supervisión del contrato de servicios de consultoría 92872-025-2022 - DataR) y el Consorcio para conminar el cumplimiento de las obligaciones y que se lograra recomponer el contrato, de acuerdo con lo conversado en el último seguimiento ejecutivo con esta mesa (el 25 de octubre de 2024). En estas sesiones se buscaba que el equipo directivo del Consorcio tomara acciones de fondo sobre la ejecución del contrato, pero además establecer acuerdos de modificación al contrato, teniendo en cuenta las debilidades que se encontraron, por ejemplo: (i) en la definición de los ANS aplicables a la etapa de operación y (ii) dada la falta de detalle en las actividades de los componentes por demanda y fijo. Las partes avanzaron en un otrosí para modificar el contrato y establecer las acciones requeridas para conminar el cumplimiento de las obligaciones, con el objetivo de reaccionar de forma anticipada y no de forma reactiva al final de las entregas del Consorcio, como está establecido hoy en el contrato. Las mesas de trabajo para la negociación del otrosí tomaron más de tres meses, entre octubre de 2023 y enero de 2024. Si bien se lograron acuerdos, en los temas álgidos de discusión como la mejora de los ANS definidos en la Solicitud de Propuestas (SdP) o la inclusión de nuevos ANS, no se llegó a un consenso."
retriever_only,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,2,0.5467413663864136,2,0.5467413663864136,,,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,26,DOC_006_RCHUNK_041,"A member firm of Ernst & Young Global Limited 
 
 
c. En sesiones de trabajo se ha indicado reiteradamente al Consorcio, sobre las 
falencias evidenciadas en el proceso de calidad interno, lo cual ha generado 
reprocesos en la revisión de la información asociada a temas de 
entendimiento, redacción, ortografía, forma y alineación de los contenidos 
mínimos con lo definido en el SDP. 
 
d. Las fechas comprometidas no se cumplen, a pesar de que se reitera en los 
seguimientos semanales y en los correos emitidos por la Interventoría. 
Asimismo, actualmente no se tiene una herramienta de gestión (actas y 
matriz de compromisos), que permita realizar seguimiento a aquellos 
compromisos que impactan directamente la completitud y liberación de los 
entregables, al igual que el alistamiento y puesta en producción de la 
herramienta. 
 
e. No se están atendiendo las observaciones realizadas por la DIAN y la 
Interventoría, ya sea en sesiones virtuales o presenciales, generando 
reprocesos y con ello, el incumplimiento de los tiempos definidos para el 
cierre de los productos. 
 
f. Los documentos aún no cuentan con el detalle técnico que se requiere para 
poder dar su cierre, dado que no se han realizado las profundizaciones 
requeridas por parte del Consorcio y la respectiva alineación de la 
información del documento a las características de la DIAN. Igualmente, no se 
tienen los insumos suficientes para dar cumplimiento al contenido mínimo 
definido en el SPD para la habilitación de los pagos, según lo definido 
contractualmente, ya que no se cuenta con la contratación de las 
herramientas complementarias de Azure y la implementación de las nuevas 
fuentes de información y la entrega de los dominios de información. 
 
g. No tener un plan de trabajo que considere los tiempos de revisión y ajustes de 
los entregables, generando tiempos limitados y desconocidos para la 
validación y modificación de los productos. 
 
h. Por parte del Consorcio no se han solicitado y desarrollado de manera 
oportuna las sesiones de validación y alineación de los Ola ´s requeridos con 
las áreas internas y los proyectos PETD (Multinube), lo cual ha implicado que"
retriever_only,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,3,0.54640793800354,3,0.54640793800354,,,DOC_031,CNS-xxxx-24 INT-DATAR-Comunicado 63-Incumplimiento compromisos otrosí2-202407.docx,COMUNICADO,1,DOC_031_RCHUNK_001,"Señores CNS-XXXX-24
Germán Morante / Édgar Arias 05 de julio 2024
Representación legal del Consorcio para el proyecto DATAR 
M&Q / PWC
Bogotá, D.C.
Oficio del Interventor del Contrato de Servicios 92872-025-2022, celebrado entre el Fondo DIAN para Colombia y el Consorcio M&Q – PWC – DATAR, relacionado con el incumplimiento de los compromisos acordados en las mesas de trabajo realizadas para la estructuración de la propuesta de otrosí 2 al contrato. 
Estimados Germán y Édgar:
De la manera más atenta, en calidad de Interventor del contrato de la referencia y en ejercicio de nuestras funciones, nos permitimos expresar nuestra seria preocupación y llamar su atención respecto al incumplimiento de los compromisos acordados como producto de las mesas de trabajo ejecutadas para realizar la estructuración de la propuesta de otrosí 2 del contrato, especialmente los compromisos relacionados con: 
Asistencia a la mesa de trabajo presencial convocada por la DIAN el 27/06/2024.
Entrega de documento con la propuesta actualizada para el componente de servicios fijos, acordada para el 3/07/2024, posterior acuerdo para el 04/07/2024 y entregada finalmente el 05/07/2024.
Preparación previa de los temas a tratar en las mesas de trabajo por parte del Consorcio. Sobre este punto en especificó se evidenció una preparación deficiente, lo que resulto en que las sesiones se enfocarán más en resolver dudas del Consorcio que en alcanzar acuerdos para la propuesta de otrosí 2 del contrato. 
Entrega de propuesta de definición de producto utilizable final y ANS para el 05/07/2024 en horas de la mañana, dado que se requería como insumo para la sesión “Virtual - Mesa de Trabajo DataR” convocada para el 5/07/2024.
Por parte del Consorcio no se realizó la entrega oportuna y en el tiempo de los anteriores compromisos, los cuales son insumos que debían suministrarse a la Unidad Coordinadora del Programa - UCP el día de hoy 05/07/2024, para adelantar el borrador del otrosí 2 del Contrato. Este incumplimiento afectó directamente el flujo de trabajo toda vez que debió realizarse la cancelación de la mesa de trabajo del 05/07/2024, incumpliendo los compromisos de las sesiones de trabajo."
retriever_only,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,4,0.5438715815544128,4,0.5438715815544128,,,DOC_018,INT_PC_AC_Acta Seguimiento Ejecutivo_20240227.docx,ACTA,1,DOC_018_RCHUNK_018,"Luego explicó que se avanzó en el análisis de la terminación anticipada del contrato por mutuo acuerdo porque no se cuenta con elementos desde ninguna circunstancia para decidir más allá. El Consorcio solicitó un plan de entrega de requerimientos para priorizar su entrega, respecto de lo cual la respuesta fue que eso no estaba contemplado así en el contrato. Adicionalmente, la Interventoría ha advertido acerca de la baja calidad de los productos elaborados por el Consorcio y de su falta de capacidad para atender los requerimientos por demanda a la velocidad requerida por la DIAN, por lo que no se alcanzarían a ejecutar todos los recursos en el tiempo que queda del contrato. Lograr la terminación permitiría mitigar el riesgo de incumplimiento del contrato.
Reitera que los “incumplimientos” presentados por la Interventoría en el seguimiento no son elementos que permitan declarar un incumplimiento del contrato por parte del Consorcio, y que es necesario tener en cuenta las vulnerabilidades de la DIAN (la no adquisición de las herramientas complementarias o entrega de una justificación relacionada con la no adquisición, antes de julio de 2023 según lo acordado en el otrosí 1 del contrato; así como debilidades de la documentación contractual relacionadas con la definición de ANS aplicables a la etapa de operación y en la falta de detalle en las actividades de los componentes por demanda y fijo) y el esquema de ejecución que se asumió cuando se firmó el contrato. No es que existieran incumplimientos que no se hubieran declarado, sino que no se tenían los elementos para declarar un incumplimiento, de acuerdo con lo revisado con la Interventoría, el supervisor del contrato y el Contratista.
Respecto de las inquietudes de qué pasará en adelante con el proyecto, explicó que para terminar un contrato se necesita: (i) el análisis interno del contrato, que se viene adelantando en mesas de trabajo con la DIGIT y la Interventoría, (ii) el análisis de la DIGIT que viene haciendo con el Consultor, para determinar las causales de la terminación por mutuo acuerdo, más allá de que las partes han convenido que es lo mejor, y (iii) el análisis de la UCP."
retriever_only,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,5,0.5410523414611816,5,0.5410523414611816,,,DOC_018,INT_PC_AC_Acta Seguimiento Ejecutivo_20240227.docx,ACTA,1,DOC_018_RCHUNK_020,"Frente a la cesión del contrato, existen limitaciones desde el punto de vista jurídico que tendrían que ser analizados con la UCP, dadas las restricciones de la política del Banco, antes de que se tomen decisiones en ese sentido, la UCP solicita que se revise con la DIGIT este escenario.
La Directora de la Interventoría expresó que la Interventoría no puede dejar de informar los aspectos en la ejecución que desde el punto de vista técnico no se cumplieron por parte del Contratista. También explicó que las razones por las cuales no se puede hablar de incumplimientos contractuales no es porque el contratista haya cumplido, sino porque existen falencias en el contrato (presentadas en seguimientos ejecutivos previos, así como en los informes, comunicados y concetos de la Interventoría) que no permiten declarar un incumplimiento. No se puede declarar el incumplimiento no porque el Contratista esté ejecutando correctamente el proyecto y se hayan cumplido los compromisos actividades planeadas, sino porque el contrato no cuenta con las herramientas para declararlo en esta etapa en particular. En la etapa anterior sí se contaba con elementos, pero no fue posible por definiciones que hizo la DIAN, como se explicó previamente. 
La DIAN (DIGIT – Dirección y Supervisión del contrato de servicios de consultoría 92872-025-2022 - DataR) cuenta con la documentación del caso, con informes, conceptos y comunicados de la Interventoría, incluso desde abril de 2023, cuando se realizó una reunión, citada por la DIAN, en la que también se habló de la terminación del contrato. 
La Interventoría puede participar en las mesas de trabajo planteadas por la Directora de Gestión Corporativa y Ordenadora del Gasto, si así es requerido. 
La Directora de Gestión Corporativa y Ordenadora del Gasto preguntó cuál es la recomendación de la Interventoría."
retriever_plus_reranker,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,1,4.0185041427612305,20,0.5093325972557068,1.0,4.018504,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,20,DOC_006_RCHUNK_031,"A member firm of Ernst & Young Global Limited 
 
 
e. No se están atendiendo las observaciones realizadas por la DIAN y la 
Interventoría, generando reprocesos y con ello, el incumplimiento de los 
tiempos definidos para el cierre de los productos. 
 
f. Los documentos aún no cuentan con el detalle técnico que se requiere para 
poder dar su cierre, dado que no se han realizado las profundizaciones 
requeridas por parte del Consorcio y la respectiva alineación de la 
información del documento a las características de la DIAN. Igualmente, no se 
tienen los insumos suficientes para dar cumplimiento al contenido mínimo 
definido en el SPD para la habilitación de los pagos, según lo definido 
contractualmente, ya que no se cuenta con la contratación de las 
herramientas complementarias de Azure y la implementación de las nuevas 
fuentes de información. 
 
g. No tener un plan de trabajo que considere los tiempos de revisión y ajustes de 
los entregables, generando tiempos limitados y desconocidos para la 
validación y modificación de los productos. 
 
h. Se identificó la entrega de productos en versión actualizada, de entregables 
que no han sido aprobados en su primera versión. Por tanto, la información 
que se entrega es igual en ambos documentos (Ej. Ent12 - Documentación 
técnica de la solución del DataR). 
 
i. Desde el Consorcio se propuso la ejecución de una prueba de concepto que no 
estaba incluida dentro del plan de trabajo inicial de DATAR, el cual fue 
aprobado por la DIAN. Tiempos que no fueron considerados desde la 
planeación del proyecto. 
 
k. Existen últimas versiones liberadas por el Consorcio de entregables que a la 
fecha no han sido revisados por la DIAN y/o por todo el equipo técnico de la 
DIAN asignado para estos documentos según lo definido en la matriz de 
entregables. 
 
Por tanto, se recomienda a la DIAN, solicitar al Consorcio que establezca y 
presente a la DIAN y a la Interventoría, acciones concretas para el cierre de los 
entregables de la fase de diseño y entendimiento, en donde se cumpla con la 
alineación metodológica presentada por el Consorcio en su propuesta de"
retriever_plus_reranker,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,2,3.2014617919921875,10,0.5263508558273315,2.0,3.2014618,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,37,DOC_006_RCHUNK_063,"17/02/2023 
Con atraso 
 
6. Desarrollo de proyecto 
 
Durante la ejecución del proyecto, se han identificado en las diferentes sesiones 
de trabajo, los siguientes temas transversales asociados al Consorcio, que han 
contribuido al reiterado incumplimiento de las obligaciones y compromisos, 
afectando el desarrollo y fluidez del proyecto: 
 
6.1. De acuerdo con lo definido en la propuesta de servicios en el capítulo de 
“INTRODUCCIÓN”, en el ítem de “Calidad”, se indica que: “Está demostrada"
retriever_plus_reranker,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,3,2.9307637214660645,4,0.5438715815544128,3.0,2.9307637,DOC_018,INT_PC_AC_Acta Seguimiento Ejecutivo_20240227.docx,ACTA,1,DOC_018_RCHUNK_018,"Luego explicó que se avanzó en el análisis de la terminación anticipada del contrato por mutuo acuerdo porque no se cuenta con elementos desde ninguna circunstancia para decidir más allá. El Consorcio solicitó un plan de entrega de requerimientos para priorizar su entrega, respecto de lo cual la respuesta fue que eso no estaba contemplado así en el contrato. Adicionalmente, la Interventoría ha advertido acerca de la baja calidad de los productos elaborados por el Consorcio y de su falta de capacidad para atender los requerimientos por demanda a la velocidad requerida por la DIAN, por lo que no se alcanzarían a ejecutar todos los recursos en el tiempo que queda del contrato. Lograr la terminación permitiría mitigar el riesgo de incumplimiento del contrato.
Reitera que los “incumplimientos” presentados por la Interventoría en el seguimiento no son elementos que permitan declarar un incumplimiento del contrato por parte del Consorcio, y que es necesario tener en cuenta las vulnerabilidades de la DIAN (la no adquisición de las herramientas complementarias o entrega de una justificación relacionada con la no adquisición, antes de julio de 2023 según lo acordado en el otrosí 1 del contrato; así como debilidades de la documentación contractual relacionadas con la definición de ANS aplicables a la etapa de operación y en la falta de detalle en las actividades de los componentes por demanda y fijo) y el esquema de ejecución que se asumió cuando se firmó el contrato. No es que existieran incumplimientos que no se hubieran declarado, sino que no se tenían los elementos para declarar un incumplimiento, de acuerdo con lo revisado con la Interventoría, el supervisor del contrato y el Contratista.
Respecto de las inquietudes de qué pasará en adelante con el proyecto, explicó que para terminar un contrato se necesita: (i) el análisis interno del contrato, que se viene adelantando en mesas de trabajo con la DIGIT y la Interventoría, (ii) el análisis de la DIGIT que viene haciendo con el Consultor, para determinar las causales de la terminación por mutuo acuerdo, más allá de que las partes han convenido que es lo mejor, y (iii) el análisis de la UCP."
retriever_plus_reranker,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,4,2.8693342208862305,2,0.5467413663864136,4.0,2.8693342,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,26,DOC_006_RCHUNK_041,"A member firm of Ernst & Young Global Limited 
 
 
c. En sesiones de trabajo se ha indicado reiteradamente al Consorcio, sobre las 
falencias evidenciadas en el proceso de calidad interno, lo cual ha generado 
reprocesos en la revisión de la información asociada a temas de 
entendimiento, redacción, ortografía, forma y alineación de los contenidos 
mínimos con lo definido en el SDP. 
 
d. Las fechas comprometidas no se cumplen, a pesar de que se reitera en los 
seguimientos semanales y en los correos emitidos por la Interventoría. 
Asimismo, actualmente no se tiene una herramienta de gestión (actas y 
matriz de compromisos), que permita realizar seguimiento a aquellos 
compromisos que impactan directamente la completitud y liberación de los 
entregables, al igual que el alistamiento y puesta en producción de la 
herramienta. 
 
e. No se están atendiendo las observaciones realizadas por la DIAN y la 
Interventoría, ya sea en sesiones virtuales o presenciales, generando 
reprocesos y con ello, el incumplimiento de los tiempos definidos para el 
cierre de los productos. 
 
f. Los documentos aún no cuentan con el detalle técnico que se requiere para 
poder dar su cierre, dado que no se han realizado las profundizaciones 
requeridas por parte del Consorcio y la respectiva alineación de la 
información del documento a las características de la DIAN. Igualmente, no se 
tienen los insumos suficientes para dar cumplimiento al contenido mínimo 
definido en el SPD para la habilitación de los pagos, según lo definido 
contractualmente, ya que no se cuenta con la contratación de las 
herramientas complementarias de Azure y la implementación de las nuevas 
fuentes de información y la entrega de los dominios de información. 
 
g. No tener un plan de trabajo que considere los tiempos de revisión y ajustes de 
los entregables, generando tiempos limitados y desconocidos para la 
validación y modificación de los productos. 
 
h. Por parte del Consorcio no se han solicitado y desarrollado de manera 
oportuna las sesiones de validación y alineación de los Ola ´s requeridos con 
las áreas internas y los proyectos PETD (Multinube), lo cual ha implicado que"
retriever_plus_reranker,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,5,2.5888383388519287,9,0.5272790193557739,5.0,2.5888383,DOC_003,CNS-0866-23 INT_DATAR_Comunicado_14_09102023_VF.pdf,COMUNICADO,6,DOC_003_RCHUNK_011,"A member firm of Ernst & Young Global Limited 
 
 
 
 
Dado lo anterior, tanto la DIAN como la Interventoría prevén y alertan un posible 
incumplimiento sobre las obligaciones contractuales y los compromisos realizados 
por el Consorcio en este plan de trabajo aprobado (LB3), teniendo en cuenta que 
esta será la base sobre la cual se seguirá reportando hasta que el Consorcio 
tramite el control de cambios y este sea aprobado por el Comité Técnico de la 
DIAN. 
3. Adicional y precisamente desde el 19 de septiembre, el consorcio ha solicitado también 
espacios para definir acuerdos sobre varios aspectos fundamentales, que han afectado la 
ejecución del proyecto, y que pueden impactar también de una forma importante las 
actividades y entregables de la Fase 5, sin que hasta el momento se hayan podido 
establecer dichos acuerdos. Estos aspectos incluyen: 
• Revisión del modelo de estimación, con base en la ejecución real de las pruebas y las 
lecciones aprendidas. 
• Revisión de las actividades anteriores a la aprobación de la especificación del 
requerimiento, que es un acuerdo previo, que debía ser revisado antes de iniciar Fase de 
Prestación de Servicios de Gestión de Datos, tema que fue tratado durante las reuniones 
de revisión y aprobación del modelo de operación. 
• Revisión de la dedicación de tiempo de los recursos del equipo clave en la Fase de 
Prestación de Servicios de Gestión de Datos, en función a las actividades que están 
previstas en la oferta comercial del Consorcio, el formato TEC-6 y los entregables 
establecidos en los diferentes procesos del Modelo Operativo. 
• Plan de trabajo de la implementación de las herramientas complementarias por parte de 
la DIAN, que estaba prevista para el 31 de Julio, de acuerdo con el Control de cambios N. 
3, que significaría “un incumplimiento” por parte de la DIAN 
• Revisión de aspectos que mejoren la eficiencia en la ejecución del proyecto. 
• Dar cumplimiento de los acuerdos de plan de gestión del proyecto aprobado, con el fin 
de fortalecer la gestión de calidad del proyecto."
