question_id,question,categoria,tipo_tarea,nivel_dificultad,respuesta_esperada,documentos_esperados,observaciones
Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,retrieval_rag,media,Listado de incumplimientos contractuales con evidencia documental.,,Pregunta general para recuperar documentos de incumplimiento.
Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos,retrieval_rag,media,"Compromisos vencidos, responsables y evidencia asociada cuando esté disponible.",,Útil para evaluar recuperación de actas y comunicados.
Q003,¿Qué riesgos de retraso se evidencian en el corpus?,riesgos,retrieval_rag,media,"Riesgos asociados a retrasos, tiempos de cierre, cronograma o entregas.",,Debe recuperar señales distribuidas en varios documentos.
Q004,¿Qué riesgos asociados a despliegues fueron identificados?,despliegues,retrieval_rag,media,"Riesgos, observaciones o mejoras relacionadas con despliegues.",,Relacionada con documentos de mejoras y operación.
Q005,¿Qué ANS fueron reportados como incumplidos o afectados?,ans,retrieval_rag,media,"ANS mencionados, afectación reportada y evidencia documental.",,Pregunta específica para medir recuperación de documentos con ANS.
Q006,¿Qué acciones correctivas fueron solicitadas por la interventoría?,acciones_correctivas,retrieval_rag,media,"Acciones correctivas, solicitudes o recomendaciones realizadas.",,Evalúa capacidad de recuperar recomendaciones accionables.
Q007,¿Qué hallazgos se identificaron en los reviews de sprint?,calidad,retrieval_rag,baja,"Hallazgos, observaciones o resultados de reviews de sprint.",,Pregunta focalizada en documentos tipo review.
Q008,¿Qué compromisos fueron establecidos en las actas de seguimiento?,actas_compromisos,retrieval_rag,media,"Compromisos definidos en actas, fechas y responsables cuando existan.",,Evalúa recuperación sobre actas.
Q009,¿Qué decisiones fueron tomadas en los comités o reuniones de seguimiento?,gobierno,retrieval_rag,media,"Decisiones, acuerdos o definiciones registradas en actas.",,Útil para responder sobre gobernanza del proyecto.
Q010,¿Qué documentos evidencian incumplimiento reiterado?,incumplimientos,retrieval_recommendation,alta,Documentos relacionados con incumplimientos repetidos o persistentes.,,Evalúa recuperación y recomendación documental.
Q011,¿Cuáles son las principales causas de incumplimiento identificadas?,causas_incumplimiento,rag_sintesis,alta,Síntesis de causas asociadas a incumplimientos documentados.,,Requiere síntesis sobre varios documentos.
Q012,¿Qué señales tempranas de riesgo aparecen en los comunicados?,riesgos,risk_extraction,alta,"Señales de riesgo, documento fuente y evidencia textual.",,Pregunta clave para radar de riesgos.
Q013,¿Qué riesgos afectan el cumplimiento del proyecto?,riesgos,rag_sintesis,alta,"Riesgos principales que podrían afectar alcance, tiempo, calidad o cumplimiento contractual.",,Pregunta transversal para evaluación de RAG.
Q014,¿Qué acciones de mitigación fueron propuestas o solicitadas?,mitigacion,retrieval_rag,media,"Acciones de mitigación, mejora o corrección asociadas a riesgos.",,Sirve para conectar riesgos con acciones.
Q015,¿Qué observaciones realizó la interventoría sobre la calidad de entregables?,calidad,retrieval_rag,media,"Observaciones de calidad sobre entregables, revisiones o productos.",,Útil para identificar hallazgos de calidad.
Q016,¿Qué documentos son más relevantes para entender los incumplimientos del proveedor?,recomendacion_documental,retrieval_recommendation,alta,Documentos recomendados y justificación basada en evidencia.,,Evalúa recomendación documental.
Q017,¿Qué eventos o documentos deberían aparecer en una línea de tiempo de riesgos?,timeline_riesgos,risk_timeline,alta,"Eventos, fechas y documentos asociados a evolución del riesgo.",,Conecta extracción de riesgos con timeline.
Q018,¿Qué comunicaciones formales reportan retrasos o desviaciones?,comunicaciones,retrieval_rag,media,"Comunicaciones donde se reportan retrasos, desviaciones o incumplimientos.",,Pregunta focalizada en comunicados.
Q019,"¿Qué riesgos se relacionan con cierre de planes, entregas o compromisos pendientes?",riesgos,risk_extraction,alta,"Riesgos asociados a cierre, entregas pendientes o compromisos no atendidos.",,Pregunta relevante para radar de riesgo.
Q020,¿Qué evidencia documental soporta la existencia de riesgos críticos?,evidencia,retrieval_rag,alta,Fragmentos documentales y fuentes que soporten riesgos críticos.,,Pregunta central para trazabilidad.
