model_alias,model_name,question_id,question,categoria,rank,score,chunk_id,doc_id,filename,tipo_documento,page,chunk_text
minilm,sentence-transformers/all-MiniLM-L6-v2,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,1,0.6992861032485962,DOC_006_RCHUNK_018,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,10,"A member firm of Ernst & Young Global Limited 
 
 
reprocesos y con ello, el incumplimiento de los tiempos definidos para el 
cierre de los productos. 
 
g. Los documentos aún no cuentan con el detalle técnico que se requiere para 
poder dar su cierre, dado que no se han realizado las profundizaciones 
requeridas por parte del Consorcio y la respectiva alineación de la 
información del documento a las características de la DIAN. Igualmente, no se 
tienen los insumos suficientes para dar cumplimiento al contenido mínimo 
definido en el SPD para la habilitación de los pagos, según lo definido 
contractualmente, ya que no se cuenta con la contratación de las 
herramientas complementarias de Azure y la implementación de las nuevas 
fuentes de información. 
 
h. No tener un plan de trabajo que considere los tiempos de revisión y ajustes de 
los entregables, generando tiempos desconocidos para la validación y 
modificación de los productos. 
 
i. Cada uno de estos entregables han tenido más de 2 reprogramaciones por 
parte del Consorcio, sin una debida justificación y acuerdo con la DIAN. 
 
j. Existen últimas versiones liberadas por el Consorcio de entregables que a la 
fecha no han sido revisados por la DIAN y/o por todo el equipo técnico de la 
DIAN asignado para estos documentos según lo definido en la matriz de 
entregables. 
 
Por tanto, se recomienda a la DIAN, solicitar al Consorcio que establezca y 
presente a la DIAN y a la Interventoría, acciones concretas para el cierre de los 
entregables de la fase de diseño y entendimiento, en donde se cumpla con la 
alineación metodológica presentada por el Consorcio en su propuesta de 
servicios, el plan de calidad definido, las fechas previstas para las actividades que 
sean definidas en el cronograma propuesto, los criterios mínimos de aceptación y 
la completitud de estos productos, según lo definido en el SDP. 
 
Plan de choque socializado por el Consorcio el 11/01/2023, el cual fue 
incumplido y que tenía el siguiente alcance: 
 
Mejora 
Fecha de cierre comprometida 
Estado 
Observación 
Plan de Cierre 
de los 
documentos 
de la Fase 2- 
Entendimiento 
y diseño 
 
Ent03 – Diseño detallado del 
DATAR -13/01/2023"
minilm,sentence-transformers/all-MiniLM-L6-v2,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,2,0.6907614469528198,DOC_006_RCHUNK_065,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,39,"A member firm of Ernst & Young Global Limited 
 
 
que sus procedimientos internos para la validación de los productos. Lo 
anterior, teniendo en cuenta que se siguen identificando errores en la calidad 
de los entregables emitidos por el Consorcio, especialmente, en temas 
relacionados con redacción, gramática, ortografía, cumplimiento de los 
contenidos mínimos del SDP y organización del contenido del documento, lo 
cual genera reprocesos en la revisión de estos documentos y ciclos de 
validación adicionales a los definidos en el plan de trabajo, debido a que no se 
atienden de manera satisfactoria y oportuna, las observaciones realizadas 
por la DIAN y la Interventoría. Adicionalmente, el tener estos errores se 
pueden generar mal interpretaciones de los contenidos, falta de completitud 
y detalle de la información acordada contractualmente, dificultad en el 
entendimiento de los desarrollado e incumplimiento de los criterios de 
aceptación de los documentos según lo definido en la matriz de entregables, 
el SDP y el Plan de Interventoría, incluyendo los criterios asociados con 
“Buena ortografía y redacción”, así como el proceso de QA presentado por el 
Consorcio en su propuesta de servicios y en el Plan de proyecto aprobado 
por la DIAN. 
 
6.2. Actualmente, los procesos y documentos de gestión del proyecto por parte 
del Consorcio, han presentado falencias que implican que los requerimientos 
del proyecto, no se gestionen de manera oportuna y que a la fecha, no se 
tenga información completa y actualizada que permita administrar el 
proyecto de manera adecuada a nivel de actividades y tiempos de ejecución, 
interdependencias con otros proyectos, alineación de expectativas sobre el 
contenido de los productos emitidos por el Consorcio, estrategia de 
implementación y pruebas del proyecto, estado de los compromisos, 
acuerdos realizados en las sesiones de trabajo y estado real del proyecto. 
Por tanto, es necesario agilizar el cambio de gerente de proyecto solicitado 
por la DIAN el 03/04/2023, al igual que el proceso de empalme con el actual 
gerente, con el fin de dar fluidez a los requerimientos del proyecto para su"
minilm,sentence-transformers/all-MiniLM-L6-v2,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,3,0.6660327315330505,DOC_018_RCHUNK_020,DOC_018,INT_PC_AC_Acta Seguimiento Ejecutivo_20240227.docx,ACTA,1,"Frente a la cesión del contrato, existen limitaciones desde el punto de vista jurídico que tendrían que ser analizados con la UCP, dadas las restricciones de la política del Banco, antes de que se tomen decisiones en ese sentido, la UCP solicita que se revise con la DIGIT este escenario.
La Directora de la Interventoría expresó que la Interventoría no puede dejar de informar los aspectos en la ejecución que desde el punto de vista técnico no se cumplieron por parte del Contratista. También explicó que las razones por las cuales no se puede hablar de incumplimientos contractuales no es porque el contratista haya cumplido, sino porque existen falencias en el contrato (presentadas en seguimientos ejecutivos previos, así como en los informes, comunicados y concetos de la Interventoría) que no permiten declarar un incumplimiento. No se puede declarar el incumplimiento no porque el Contratista esté ejecutando correctamente el proyecto y se hayan cumplido los compromisos actividades planeadas, sino porque el contrato no cuenta con las herramientas para declararlo en esta etapa en particular. En la etapa anterior sí se contaba con elementos, pero no fue posible por definiciones que hizo la DIAN, como se explicó previamente. 
La DIAN (DIGIT – Dirección y Supervisión del contrato de servicios de consultoría 92872-025-2022 - DataR) cuenta con la documentación del caso, con informes, conceptos y comunicados de la Interventoría, incluso desde abril de 2023, cuando se realizó una reunión, citada por la DIAN, en la que también se habló de la terminación del contrato. 
La Interventoría puede participar en las mesas de trabajo planteadas por la Directora de Gestión Corporativa y Ordenadora del Gasto, si así es requerido. 
La Directora de Gestión Corporativa y Ordenadora del Gasto preguntó cuál es la recomendación de la Interventoría."
minilm,sentence-transformers/all-MiniLM-L6-v2,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,4,0.6616939306259155,DOC_031_RCHUNK_002,DOC_031,CNS-xxxx-24 INT-DATAR-Comunicado 63-Incumplimiento compromisos otrosí2-202407.docx,COMUNICADO,1,"Es imperativo recordar que los acuerdos y plazos establecidos no son meramente indicativos, sino que constituyen obligaciones contractuales cuyo cumplimiento es esencial para la continuidad y el éxito del proyecto, la falta de adherencia a estos compromisos pone en riesgo la continuación del proyecto.
Esperamos que este llamado de atención sea recibido con la seriedad que amerita y que se tomen las acciones necesarias para rectificar la situación de manera inmediata. La colaboración y el compromiso de todas las partes son fundamentales para mantener la confianza y asegurar el éxito conjunto.
Agradecemos su atención al asunto.
Cordialmente.
Patricia Patiño
Associate Partner
Ernst & Young S.A.S."
minilm,sentence-transformers/all-MiniLM-L6-v2,Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos,5,0.6416574120521545,DOC_016_RCHUNK_012,DOC_016,INT_PC_AC_Acta Seguimiento Ejecutivo_20240709.docx,ACTA,1,"Gestión de la arquitectura de datos.
Gestión de diseño
Gestión de almacenamiento de datos y operaciones
Gestión de seguridad de datos
Soporte y mantenimiento
La Directora de Interventoría, Patricia Patiño, aclara que, el proceso para los servicios fijos consiste en que el contratista ejecute las actividades establecidas contractualmente previamente y genere un informe de evidencias, la Interventoría valida que efectivamente dichas actividades se hayan realizado durante el mes, y contra esto se realiza el pago. En las mesas de trabajo para acordar el modificatorio contractual se han detallado las actividades de los servicios fijos (que actualmente en el contrato solo se describen en un párrafo), así como su frecuencia en ejecución. 
Una de las alertas comentadas en comités previos se relaciona con algunos niveles de servicio (ANS) que no estaban claros cómo debían ejecutarse, además, faltaban otros que la Interventoría recomendó y se revisaron con la DIAN. En las mesas de trabajo, se ha logrado aclarar los niveles de servicio (ANS) del contrato y e incluir unos nuevos.
5.2.1.2. Servicios por demanda
La Directora de Interventoría, Patricia Patiño, comenta que, en enero de este año 2024, la ejecución de los requerimientos por demanda presentó inconvenientes; como se informó en comité ejecutivo del 27 de febrero de 2024, además porque el Consorcio entendía que en el componente de servicios por demanda los pagos debían realizarse mensualmente por actividades que se realizaran independiente de si el requerimiento se había puesto en operación o no. Al respecto, en su momento, la Interventoría aclaró que el contrato establece que el pago se debía hacer cuando se entregara el producto de datos puesto operativo en producción para uso de la DIAN. Este fue el punto de discordia en las discusiones con el contratista, sin embargo, en las sesiones que se están realizando actualmente, este tema ya quedó aclarado, y se dejó documentado que los pagos se van a realizar únicamente cuando se tenga un producto final utilizable en el DataR."
minilm,sentence-transformers/all-MiniLM-L6-v2,Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos,1,0.6294500827789307,DOC_010_RCHUNK_007,DOC_010,INT_PC_AC_Acta Seguimiento Ejecutivo_20250303.pdf,ACTA,4,"Sin embargo, la Interventoría mantiene un riesgo alto en la ejecución del contrato debido 
al historial de atrasos presentados. 
 
El Director de la DGIT, Julián Medina, manifiesta que, de acuerdo con la capacidad de 
ejecución en paralelo informada por el contratista, pero no se alcanzarían a ejecutar los 
recursos. La Directora de Interventoría complementa señalando que en una proyección 
en la que se implementen 21 requerimientos en total, se ejecutaría solo el 47% del valor 
del contrato y por ello concluye que es un hecho que efectivamente no se ejecutaría el 
valor del contrato en su totalidad. En este orden de ideas, señala que la liberación de 
los recursos implicaría una modificación contractual y para ello es necesario hacer una 
reunión con el Consorcio, en la que se revise el detalle de las causas que han provocado 
esta situación. Se aclara que, si es decisión de la DIAN hacer esa liberación, sería 
necesario hacer una proyección detallada de acuerdo con el backlog de requerimientos 
que tenga la DIAN. 
 
Johana Andrea Barragán, Asesora de la Dirección de Gestión de Impuestos, pregunta 
si los doce (12) submodelos previstos para la limpieza y depuración de la información 
del registro se correrían a través de este contrato, a lo que el Director de la DGIT, Julián 
Medina y el Director de la Dirección de Gestión de Aduanas (e), Andrés Ordoñez aclaran 
que la finalidad del proyecto de DataR es para la explotación de datos, no de migrar los 
datos. que esos modelos correrían en el DataR, lo que implica la limpieza de los datos 
en el repositorio, pero el sistema actual (Muisca) seguiría con los datos sin depurar."
minilm,sentence-transformers/all-MiniLM-L6-v2,Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos,2,0.6161656975746155,DOC_017_RCHUNK_011,DOC_017,INT_PC_AC_Acta Seguimiento Ejecutivo_20240430.docx,ACTA,1,"La Directora de Gestión Corporativa, Luz Nayibe López, pregunta: “¿cuáles son las opciones que son viables y cuáles no?, ya que se espera llevar al Director las rutas con certeza sobre lo que se puede hacer, ya que hoy no hay claridad sobre la ruta a seguir”.
La Directora de Interventoría, Patricia Patiño, menciona que una de las razones para la terminación del contrato fue que el Consorcio entendió que los pagos de los requerimientos debían hacerse mensualmente, pero en este proceso se les aclara que los desembolsos se hacen por producto terminado. Dado esto, el Consorcio es quien dice que no está de acuerdo con este proceso.
El director de la DGIT, Julián Medina, menciona que otro tema que se estaba negociando en el otrosí estaba relacionado con los ANS, ya en este momento se podía evidenciar situaciones donde tres meses antes se prevé que la fecha de entrega se puede correr dos meses más, esto genera un riesgo de no poder aplicar un ANS al Consorcio cuando llegue a la fecha de entrega, por ende, no se tienen herramientas para presionar y es lo que está sucediendo actualmente. Otro de los ANS que se esperaba poner, era acerca del tiempo de respuesta estimado para la ejecución de los requerimientos solicitados por parte de la DIAN. Al no existir dichos ANS que permitan exigirle al Consorcio, quienes tampoco han cedido; ya que saben que actualmente no cumplen y no lo aceptarán, esto ha sido importante porque no se ha podido negociar con el Consorcio sobre el componente por demanda.
La Directora de Gestión Corporativa, Luz Nayibe López, pregunta si “¿una de las dificultades presentadas ha sido por un mal entendimiento del proceso de pago y en este momento los atrasos se deben a un problema de flujo de caja?”
La interventoría dice que hasta el momento el Consorcio no lo ha mencionado, incluso el hito de producción terminó en septiembre y se hizo la facturación en enero porque el Consorcio no tenía la documentación lista, por lo que no se ven problemas de flujo de caja."
minilm,sentence-transformers/all-MiniLM-L6-v2,Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos,3,0.6000633239746094,DOC_031_RCHUNK_002,DOC_031,CNS-xxxx-24 INT-DATAR-Comunicado 63-Incumplimiento compromisos otrosí2-202407.docx,COMUNICADO,1,"Es imperativo recordar que los acuerdos y plazos establecidos no son meramente indicativos, sino que constituyen obligaciones contractuales cuyo cumplimiento es esencial para la continuidad y el éxito del proyecto, la falta de adherencia a estos compromisos pone en riesgo la continuación del proyecto.
Esperamos que este llamado de atención sea recibido con la seriedad que amerita y que se tomen las acciones necesarias para rectificar la situación de manera inmediata. La colaboración y el compromiso de todas las partes son fundamentales para mantener la confianza y asegurar el éxito conjunto.
Agradecemos su atención al asunto.
Cordialmente.
Patricia Patiño
Associate Partner
Ernst & Young S.A.S."
minilm,sentence-transformers/all-MiniLM-L6-v2,Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos,4,0.5912615656852722,DOC_015_RCHUNK_007,DOC_015,INT_PC_AC_Acta Seguimiento Ejecutivo_20240827.docx,ACTA,1,"Jairo Orlando Villabona, Director General de la DIAN, manifiesta su inquietud frente a las cifras del presupuesto expresadas en pesos y en dólares. La Directora de Interventoría, Patricia Patiño, aclara que el contrato tiene un componente en pesos y otro en dólares y por eso las cifran se relacionan discriminadas.
Hugo Alcides Pérez, Jefe de la Oficina de Seguridad de la Información, pregunta ¿a qué se refiere la gestión de la Interventoría relacionada con: alcance de seguridad, ¿alcance administración de la CMDB y alcance de la administración de la base de datos? La Directora de Interventoría, Patricia Patiño, aclara que, tiene que ver con los conceptos emitidos por la Interventoría sobre el alcance del proveedor en estos temas mencionados, como términos de seguridad en la Multinube, por lo cual, la interventoría técnica no es solo de seguimiento contractual, sino que todos los planteamientos que haga el contratista en términos de seguridad, capacidad y arquitectura se validan si están de acuerdo con las definiciones de la DIAN."
minilm,sentence-transformers/all-MiniLM-L6-v2,Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos,5,0.5840281844139099,DOC_006_RCHUNK_017,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,9,"matriz de compromisos), que permita realizar seguimiento a aquellos 
compromisos que impactan directamente la completitud y liberación de los 
entregables, al igual que el alistamiento y puesta en producción de la 
herramienta. 
 
f. No se están atendiendo las observaciones realizadas por la DIAN y la 
Interventoría, ya sea en sesiones virtuales o presenciales, generando"
