risk_id,risk_name,risk_category,severity,probability,risk_score,risk_priority,risk_description,evidence,recommended_action,source_doc_id,source_filename,source_page,source_chunk_id,fecha_documento,fecha_documento_texto
RISK_0115,Pruebas en ambiente de test,Calidad,Alta,Alta,9,Crítico,"Pendiente la finalización de pruebas en ambiente de test, lo que puede retrasar el paso a producción.",está pendiente la finalización de las pruebas en ambiente de test y corrección de incidentes en la integración con Muisca.,Priorizar la finalización de las pruebas y establecer un cronograma claro para la corrección de incidentes.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,8,DOC_008_RCHUNK_014,2025-08-12,2025-08-12
RISK_0008,Incumplimiento de fechas de operación,Cronograma,Alta,Alta,9,Crítico,Retraso en la puesta en operación debido a documentos pendientes.,"Incumplimiento de la fecha de puesta en operación definida, dado que: Existen documentos cuya elaboración depende de la implementación del piloto.",Establecer un plan de acción para acelerar la elaboración de documentos pendientes.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,3,DOC_005_RCHUNK_004,2023-06-21,2023-06-21
RISK_0029,Falta de información para facturación,Financiero,Alta,Alta,9,Crítico,Riesgo de no poder realizar la facturación debido a la falta de información de parafiscales.,No se realizó porque el consultor no hizo llegar la información de parafiscales solicitada por la interventoría.,Establecer un proceso claro para la entrega de información necesaria para la facturación.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,6,DOC_005_RCHUNK_010,2023-06-21,2023-06-21
RISK_0063,Dependencia de informes para pagos,Financiero,Alta,Alta,9,Crítico,El pago por concepto de operación y gestión depende de la entrega de informes detallados.,Para dar viabilidad al pago por concepto de la operación y gestión de julio de 2025 es necesario contar con el informe detallado que evidencie.,Asegurar la entrega oportuna de los informes requeridos para evitar retrasos en los pagos.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,6,DOC_007_RCHUNK_010,2025-09-02,2025-09-02
RISK_0021,Observaciones no atendidas,Calidad,Media,Alta,6,Alto,Las observaciones realizadas en las sesiones de refinamiento no fueron atendidas en su totalidad.,se identifica que las observaciones realizadas en estas mesas de trabajo no fueron atendidas en su totalidad.,Realizar un seguimiento exhaustivo para asegurar que todas las observaciones sean atendidas.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,4,DOC_005_RCHUNK_007,2023-06-21,2023-06-21
RISK_0028,Configuración incorrecta de reglas de negocio,Calidad,Alta,Media,6,Alto,Riesgo de que la configuración de las reglas de negocio vaya en contra de las buenas prácticas.,Revisar si la configuración de las reglas de negocio solicitadas por la DIAN va en contra de las buenas prácticas de la implementación del SandBox.,Evaluar las reglas de negocio propuestas y compararlas con las mejores prácticas del sector.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,6,DOC_005_RCHUNK_010,2023-06-21,2023-06-21
RISK_0100,Revisión de documentación técnica pendiente,Calidad,Media,Alta,6,Alto,La falta de revisión de la documentación técnica puede comprometer la calidad del proyecto.,Pendiente: Ciclo 2 de revisión a la documentación técnica parte 1 por parte de la DIAN.,Priorizar la revisión de la documentación técnica para asegurar la calidad del proyecto.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,5,DOC_008_RCHUNK_008,2025-08-12,2025-08-12
RISK_0102,Validación de datos pendiente,Calidad,Media,Alta,6,Alto,Riesgo asociado a la validación de datos en preproducción que puede afectar la calidad del proyecto.,Fecha de cierre del incidente pendiente (Validación de datos en preproducción),Acelerar el proceso de validación de datos para evitar retrasos en la calidad del proyecto.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,5,DOC_008_RCHUNK_009,2025-08-12,2025-08-12
RISK_0110,Duplicados en pruebas UAT,Calidad,Alta,Media,6,Alto,Riesgo de calidad debido a la presencia de registros duplicados en las pruebas UAT.,Se solicita información sobre las tablas que presentaron duplicados durante las pruebas UAT incluyendo la cantidad de registros afectados.,Identificar la causa raíz de los duplicados y corregir el problema antes de avanzar.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,7,DOC_008_RCHUNK_012,2025-08-12,2025-08-12
RISK_0049,Incidentes en la ingesta de datos,Calidad,Alta,Media,6,Alto,Problemas en la ingesta de datos históricos pueden comprometer la calidad de la información.,Pendiente: Revisar los incidentes relacionados con la ingesta histórica de datos.,Realizar un análisis exhaustivo de los incidentes y corregir los problemas identificados.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,4,DOC_007_RCHUNK_006,2025-09-02,2025-09-02
RISK_0069,Replicación de BD no recomendada,Calidad,Alta,Media,6,Alto,La solución de replicar una parte de la BD Cosmos no corresponde con las mejores prácticas.,el arquitecto de Microsoft considera que la solución de replicar una parte de la Cosmos no corresponde con las mejores prácticas y recomendó a la DIAN evaluar la decisión considerando los riesgos que esto implica.,Evaluar alternativas de replicación que cumplan con las mejores prácticas.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,8,DOC_007_RCHUNK_012,2025-09-02,2025-09-02
RISK_0020,Incumplimiento de migración de datos,Contractual,Alta,Media,6,Alto,Posibilidad de que no se cumpla con la migración de datos antes de la salida en producción.,La Interventoría validará si contractualmente se cumple con la indicación de que debe estar todo migrado para salida en producción.,Establecer un plan de acción para asegurar la migración de datos antes de la fecha de producción.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,4,DOC_005_RCHUNK_007,2023-06-21,2023-06-21
RISK_0141,Riesgo de Continuidad del Proyecto,Contractual,Alta,Media,6,Alto,Necesidad de un nuevo proceso de contratación para asegurar la continuidad del proyecto de DataR.,se debe adelantar un nuevo proceso de contratación para dar continuidad al proyecto de DataR.,Iniciar el proceso de contratación de inmediato para evitar interrupciones en el proyecto.,DOC_009,INT_PC_AC_Acta Seguimiento Ejecutivo_20250829.pdf,4,DOC_009_RCHUNK_006,2025-08-29,2025-08-29
